Store Name,Street Address,City,State,Zip Code,products,lat,lng
Albertsons,2500 E Imperial Hwy #158,Brea,CA,92821,831||2||829||825||834,33.90995,-117.86529
Albertsons,4155 Tweedy Bl.,South Gate,CA,90280,831||2||829||825||834,33.94419,-118.19881
Albertsons,4100 N Harbor Blvd,Fullerton,CA,92835,831||2||829||825||834,33.91883,-117.93185
Albertsons,6755 Westminster Blvd,Westminster,CA,92683,831||2||829||825||834,33.75925,-118.0098
Albertsons,15200 E Rosecrans Blvd,La Mirada,CA,90638,831||2||829||825||834,33.89711,-118.00771
Albertsons,21035 Hawthorne Blvd,Torrance,CA,90503,831||2||829||825||834,33.83895,-118.35522
Albertsons,6235 E Spring St,Long Beach,CA,90808,831||2||829||825||834,33.81119,-118.10992
Albertsons,16061 Brookhurst,Fountain Valley,CA,92708,831||2||829||825||834,33.72944,-117.95643
Albertsons,1800 W Whittier Blvd,La Habra,CA,90631,831||2||829||825||834,33.93847,-117.96638
Albertsons,200 E Sepulveda Blvd,Carson,CA,90745,831||2||829||825||834,33.80657,-118.27273
